JD,r_E_m,r_S_m,alpha_rad,v_E_mps,v_S_mps,psi_E_rad,psi_S_rad,kappa2_E,kappa2_S,beta_E,beta_S,delta_E,delta_S
2456576.083333333,711085623.1833633,149740110145.78287,1.0236158081690439,10444.063500604347,38728.729087422194,0.013864588743946913,1.4434427159083885,1.2473963346763843e-11,1.9722504525506203e-08,3.483764591771134e-05,0.00012918513476220338,0.005138979276993693,0.590890467135019
2456576.125,748676031.4324073,149757841184.18167,1.0234087764961182,10441.4482805109,38723.62234010283,0.013160256395629469,1.4430937292801072,1.184765589867934e-11,1.9720169419161872e-08,3.482892248246919e-05,0.0001291681004867135,0.004883400676626873,0.5909763481564007
2456576.166666667,786257832.5683714,149775618369.6247,1.0231361145312745,10439.090355398052,38718.73762361092,0.012521989088093224,1.4427421815765378,1.1281357886159662e-11,1.9717828790476455e-08,3.4821057290901065e-05,0.00012915180682634424,0.004652083205801996,0.5910553095759158
2456576.208333333,823831841.8003834,149793442109.7089,1.0228068258559289,10436.954338358435,38714.043620378616,0.011940701492250487,1.44238844424524,1.0766828313670882e-11,1.9715482589932315e-08,3.481393230498959e-05,0.00012913614931693384,0.004441724638061086,0.5911283008908113
2456576.25,861398766.425205,149811312752.88766,1.0224283393769207,10435.011027829274,38709.514476054115,0.011408893788023329,1.4420328229074657,1.0297270376657991e-11,1.9713130775853742e-08,3.4807450118806107e-05,0.0001291210417176476,0.004249596558752052,0.5911961061882073
2456576.291666667,898959224.0001755,149829230598.70328,1.0220068393743977,10433.23611198156,38705.12865726378,0.010920319994045039,1.441675571323482,9.867028184582338e-12,1.9710773313051768e-08,3.480152963681815e-05,0.00012910641220088256,0.004073424837215922,0.5912593786868605
2456576.333333333,936513756.8411591,149847195905.895,1.0215475158370158,10431.609185874357,38700.86808462033,0.010469736256315549,1.4413169019478598,9.471356864973889e-12,1.9708410171750295e-08,3.4796102795469114e-05,0.0001290922004602942,0.003911298796923551,0.5913186669656082
2456576.375,974062843.7100945,149865208898.8944,1.0210547566851453,10430.11299667687,38696.71746658129,0.010052707461127047,1.4409569940073346,9.106246129063877e-12,1.9706041326725745e-08,3.479111204551006e-05,0.00012907835548878714,0.0037616013510024587,0.5913744351227234
2456576.416666667,1011606909.3107551,149883269773.07434,1.020532297038187,10428.732857499566,38692.66378188426,0.00966545698586314,1.4405959997537352,8.768283330571056e-12,1.9703666756611778e-08,3.4786508396750814e-05,0.0001290648338521053,0.003622954664355326,0.5914270784438986
2456576.458333333,1049146332.080453,149901378699.03033,1.019983336330763,10427.456187343507,38688.69587311718,0.00930474877213021,1.4402340493589139,8.454546071195535e-12,1.9701286443332115e-08,3.478224988349609e-05,0.00012905159833312811,0.0034941774589319382,0.5914769357094921
2456576.5,1086681450.6290867,149919535826.10144,1.0194106310784226,10426.272146723619,38684.80412471979,0.008967793867049115,1.4398712547793158,8.16251717084622e-12,1.9698900371634092e-08,3.4778300349115585e-05,0.00012903861685779896,0.003374251150731626,0.5915242989476198
2456576.541666667,1124212569.0801287,149937741285.2832,1.0188165689974338,10425.171346450501,38680.98020552705,0.008652175722368385,1.4395077128370923,7.89001674946385e-12,1.9696508528702702e-08,3.4774628474644616e-05,0.0001290258616363426,0.00326229275750514,0.5915694212342166
2456576.583333333,1161739961.5712454,149955995191.66098,1.0182032287267317,10424.145612992985,38677.21686126241,0.008355789983835302,1.4391435076963865,7.635147531641512e-12,1.9694110903838206e-08,3.477120699611791e-05,0.00012901330847109706,0.0031575330480049465,0.5916125229811563
2456576.625,1199263876.015769,149974297646.44736,1.0175724282926606,10423.187797996894,38673.50774602551,0.008076795611196496,1.4387787128690488,7.396250464466895e-12,1.969170748818611e-08,3.4768012069192525e-05,0.00012900093619441726,0.003059298786391753,0.5916537970437598
2456576.666666667,1236784537.318827,149992648738.70685,1.0169257647381718,10422.29162255106,38669.8472844792,0.007813574898116848,1.4384133928507543,7.171868447861598e-12,1.9689298274508632e-08,3.476502274967524e-05,0.0001289887262089802,0.002966998203053648,0.5916934128985837
2456576.708333333,1274302150.0938947,150011048546.81647,1.0162646467235654,10421.451549025254,38666.230558401905,0.007564700571619013,1.4380476044647295,6.960716498317471e-12,1.96868832569911e-08,3.476222056601989e-05,0.0001289766621093647,0.00288010902784885,0.5917315200831713
2456576.75,1311816901.011396,150029497139.7153,1.0155903215263855,10420.662674942112,38662.65321272039,0.00732890853734752,1.4376813979721557,6.761657052261857e-12,1.9684462431076333e-08,3.4759589165322205e-05,0.00012896472936861004,0.0027981685733124186,0.5917682510455908
