Name,Rad,Vobs,Vgas,Vdisk,Vbul,R_d,Vb,GasFrac,Omega_gas,V_Newton,V_LCDM_(AM),V_MOND_(Std),V_Verlinde,V_WILL_RG
ESO079-G014,4.39,102.0,9.29,86.87,0.0,5.08,62.124894768522545,0.022361456918845665,0.022361456918845665,62.112477568909426,110.31398708806954,99.61615743166934,100.52747293088473,96.13961261423746
ESO079-G014,5.65,116.0,9.5,92.23,0.0,5.08,65.9047528635075,0.02077847829453105,0.02077847829453105,65.89677295861543,120.217914359472,108.78560769805514,111.5304751647099,105.52345812199714
ESO079-G014,6.34,132.0,10.22,96.19,0.0,5.08,68.78013121534445,0.022078816579287015,0.022078816579287015,68.77353438219406,125.41240380250112,114.30702338752971,117.88737416938518,111.13125671146001
ESO079-G014,6.89,137.0,11.87,100.53,0.0,5.08,72.06967011163573,0.027126662845426017,0.027126662845426017,72.0638773338473,129.8317467230952,119.6073760820411,123.9078355896745,116.57534710241985
ESO079-G014,8.34,154.0,17.23,113.81,0.0,5.08,82.29964125073693,0.04383032295687481,0.04383032295687481,82.29527985308808,141.50918107469977,134.76982583859515,140.96611402830612,132.2259604522241
ESO079-G014,10.04,163.0,24.23,128.72,0.0,5.08,94.18870473682075,0.06617732054944726,0.06617732054944726,94.185419476312,154.03995480371177,151.87123140812952,160.05909526872185,149.87334536124814
ESO079-G014,11.65,170.0,30.75,133.41,0.0,5.08,99.22034342814986,0.09604810226091176,0.09604810226091176,99.21793485072928,161.27443367487118,161.42639038454584,170.51854431136996,159.2876871307433
ESO079-G014,13.36,175.0,36.2,132.99,0.0,5.08,100.76512318257741,0.12906148587023983,0.12906148587023983,100.76339654510485,165.87495338680418,167.3856839449987,176.76215694771645,164.68726032837938
ESO079-G014,15.06,177.0,39.42,128.51,0.0,5.08,99.05224101452727,0.1583815644385894,0.1583815644385894,99.05099369241813,167.91084256287763,169.63629994885312,178.7272676528162,166.05842758310047
ESO079-G014,16.67,178.0,40.49,124.23,0.0,5.08,96.72634878873492,0.17522899282064489,0.17522899282064489,96.7253940663605,169.0414730436105,170.69820243494345,179.35323424951528,166.25246600705339
ESO116-G012,0.25,20.9,-0.22,17.33,0.0,1.51,12.254160517962866,0.0,0.0,12.185287457711553,22.91670326939984,18.644989785279297,14.984765773759456,15.084163331196757
ESO116-G012,0.83,40.0,-1.8,34.96,0.0,1.51,24.720453070281703,0.0,0.0,24.707685355292757,43.55098116983012,40.553105097611656,38.64932380190799,37.67522336670192
ESO116-G012,1.38,51.5,-1.55,51.34,0.0,1.51,36.302862146117356,0.0,0.0,36.296073962728315,57.901409302125046,57.33000618951724,58.120956617670544,55.5811878977581
ESO116-G012,1.85,67.9,5.01,61.73,0.0,1.51,43.93627829026942,0.013002561572128793,0.013002561572128793,43.93182402886208,67.35853789964524,68.47284682541367,71.04836965294668,67.34772416910178
ESO116-G012,2.68,80.2,12.54,60.49,0.0,1.51,44.57321673381898,0.07914930737007445,0.07914930737007445,44.57134212315284,74.00344073448436,74.3290526946772,77.83419652367415,72.79413134834658
ESO116-G012,3.19,83.3,16.68,63.17,0.0,1.51,47.68067585510927,0.12237910906076382,0.12237910906076382,47.6793902144861,78.93299922344416,80.17584212481803,84.2696988249076,78.5787826140029
ESO116-G012,3.68,91.4,20.19,65.14,0.0,1.51,50.29160864398752,0.16116902670475813,0.16116902670475813,50.2906777448465,83.0121740111933,85.20105506829172,89.7131409903204,83.49603504909325
ESO116-G012,4.13,102.0,22.31,66.32,0.0,1.51,51.93175618058761,0.18455810475947765,0.18455810475947765,51.93103494393538,86.00400146367603,88.89228437728903,93.62220314016707,87.00808126264225
ESO116-G012,5.23,105.0,25.63,64.52,0.0,1.51,52.3288839934505,0.2398911723758588,0.2398911723758588,52.32849021186991,90.27028109271387,93.66815003900379,98.32713549729102,91.03072522266899
ESO116-G012,6.05,109.0,27.28,60.09,0.0,1.51,50.493588206820874,0.29188801571790146,0.29188801571790146,50.49334177431376,91.65262090037453,94.5290451947236,98.80527001121894,91.19778805861775
ESO116-G012,6.81,108.0,28.58,55.74,0.0,1.51,48.685626215547444,0.3446060739735581,0.3446060739735581,48.68546556518899,92.58802443684262,94.89089702914819,98.79787409140721,90.9701640132288
ESO116-G012,7.56,109.0,30.7,53.61,0.0,1.51,48.78018091397366,0.3960864062522556,0.3960864062522556,48.7800700166976,94.2525654358325,97.13857083970225,100.94317587413715,92.82767686858428
ESO116-G012,8.32,110.0,33.83,51.18,0.0,1.51,49.539530680053886,0.46633737070093606,0.46633737070093606,49.5394580675943,96.04537817863768,100.03666867208399,103.83260667224803,95.40576052948475
ESO116-G012,9.09,111.0,35.49,49.08,0.0,1.51,49.638324911302156,0.5111846024654669,0.5111846024654669,49.638273772340206,97.31214147893567,102.08288676726964,105.7768779079396,97.09942243682738
ESO116-G012,9.86,112.0,33.74,46.34,0.0,1.51,47.032811950807286,0.5146219038378899,0.5146219038378899,47.03277134572024,97.06966808781901,100.7968507830449,104.03571489444099,95.31699821497725
ESO444-G084,0.26,18.3,4.59,8.31,0.0,0.46,7.45628258584665,0.37894890203728127,0.37894890203728127,7.454876663707304,18.91254275463508,16.040497976297612,15.786189349827074,14.801884075695506
ESO444-G084,0.77,35.3,11.55,14.79,0.0,0.46,15.581224277957107,0.5494912872869089,0.5494912872869089,15.581047938329574,32.18640235323701,31.0057381751198,32.130936846205934,29.593427975552654
ESO444-G084,1.29,47.8,16.45,14.54,0.0,0.46,19.39866748001006,0.7190978779899354,0.7190978779899354,19.398637068603634,39.49504387298117,39.26594274312128,40.744708481759595,37.434225855986035
